BMI,BMI_percentile,proportion
98.0,2,0.0033333333333333335
16.0,0,0.0033333333333333335
72.0,2,0.0033333333333333335
70.0,2,0.0033333333333333335
65.0,1,0.0033333333333333335
64.0,1,0.0033333333333333335
19.0,0,0.0033333333333333335
51.0,1,0.0033333333333333335
18.0,0,0.0033333333333333335
40.0,0,0.0033333333333333335
38.0,0,0.0033333333333333335
35.0,0,0.0033333333333333335
60.0,1,0.0033333333333333335
34.0,0,0.006666666666666667
74.0,2,0.006666666666666667
37.0,0,0.006666666666666667
33.0,0,0.006666666666666667
76.0,2,0.006666666666666667
32.0,0,0.006666666666666667
95.0,2,0.01
54.0,1,0.01
52.0,1,0.01
30.0,0,0.01
81.0,2,0.013333333333333334
36.0,0,0.013333333333333334
25.0,0,0.013333333333333334
50.0,1,0.013333333333333334
71.0,2,0.013333333333333334
21.0,0,0.016666666666666666
49.0,1,0.016666666666666666
31.0,0,0.016666666666666666
92.0,2,0.016666666666666666
73.0,2,0.02
45.0,1,0.02
48.0,1,0.02
89.0,2,0.023333333333333334
23.0,0,0.023333333333333334
47.0,1,0.023333333333333334
26.0,0,0.02666666666666667
28.0,0,0.02666666666666667
46.0,1,0.02666666666666667
22.0,0,0.03
82.0,2,0.03
29.0,0,0.03
75.0,2,0.03333333333333333
43.0,1,0.03666666666666667
84.0,2,0.03666666666666667
79.0,2,0.03666666666666667
87.0,2,0.03666666666666667
27.0,0,0.04
24.0,0,0.04
77.0,2,0.04
42.0,1,0.04666666666666667
41.0,1,0.04666666666666667
44.0,1,0.05
